Data,Srednia temperatura powietrza,Maksymalna temperatura powietrza,Minimalna temperatura powietrza,Minimalna temperatura powietrza przy gruncie,Srrednia wilgotnosc powietrza,Srednia prezystosc pary wodnej,Srednie zachmurzenie,Srednia predkosc wiatru,Czas trwania wiatru >= 10 m/s,Czas trwania wiatru >= 15 m/s,Cisnienie na poziomie morza,Cisnienie na poziomie stacji,Dobowa suma opadu,Opad - dzien,Opad - noc,Wysokosc pokrywy snieznej,Rownowaznik wodny sniegu,Uslonecznienie,Czas trwania opadu deszczu,Czas trwania opadu sniegu,Czas trwania opadu deszczu ze sniegiem,Czas trwania mgly,Czas trwania rosy,Czas trwania szronu,Czas trwania burzy
2010-01-29,-0.4,1.5,-3.8,-6.0,81.3,4.8,6.8,4.9,0.0,0.0,990.6,975.3,0.1,0.0,0.1,27,2.4,0.7,-,3.8,-,-,-,-,-
2010-01-30,-0.6,1.7,-2.0,-3.3,72.3,4.2,5.1,6.0,0.0,0.0,988.4,973.1,0.0,0.0,0.0,25,2.5,6.0,-,2.5,-,-,-,-,-
2010-01-31,-10.1,-1.9,-17.9,-20.4,85.4,2.5,3.3,1.9,0.0,0.0,1004.8,988.7,0.1,0.0,0.1,24,2.8,7.3,-,0.3,-,-,-,6.8,-
2010-02-01,-5.5,0.0,-16.8,-19.6,82.0,3.4,6.4,2.3,0.0,0.0,1008.5,992.6,0.0,0.0,0.0,24,2.9,4.5,-,4.1,-,-,-,-,-
2010-02-02,-2.7,-1.6,-6.9,-9.6,74.8,3.8,6.5,4.5,0.0,0.0,1011.8,996.1,0.1,0.1,0.0,25,2.4,4.7,-,6.7,-,-,-,-,-
2010-02-03,0.6,2.4,-4.5,-6.2,77.1,4.9,5.6,5.6,0.0,0.0,1006.5,991.0,0.4,0.4,0.0,25,2.7,4.3,-,8.2,-,-,-,-,-
2010-02-04,-2.5,1.8,-10.6,-13.0,77.0,3.9,5.1,3.4,0.0,0.0,1020.2,1004.3,0.0,0.0,0.0,21,2.8,4.8,-,-,-,-,-,-,-
2010-02-05,-0.5,3.7,-6.2,-9.0,80.4,4.7,3.8,4.9,0.0,0.0,1017.5,1001.8,0.0,0.0,0.0,21,3.0,6.2,-,-,-,-,-,-,-
2010-02-06,-1.0,2.7,-3.8,-4.0,77.6,4.5,6.9,4.4,0.0,0.0,1017.2,1001.5,0.0,0.0,0.0,21,2.8,2.1,-,1.0,1.7,-,-,-,-
2010-02-07,-5.5,-3.7,-6.6,-6.6,79.4,3.2,7.8,2.5,0.0,0.0,1022.2,1006.1,0.2,0.1,0.1,20,2.8,0.0,-,21.3,-,-,-,-,-
